UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bagalkot Town Police Station,1,0,1,1,1,True
2,Bangalore Rural Town Police Station,1,0,1,1,2,True
3,Bangalore Urban Town Police Station,1,0,1,1,3,True
4,Belgaum Town Police Station,1,0,1,1,4,True
5,Bellary Town Police Station,1,0,1,1,5,True
6,Bidar Town Police Station,1,0,1,1,6,True
7,Bijapur Town Police Station,1,0,1,1,7,True
8,Chamrajnagar Town Police Station,1,0,1,1,8,True
9,Chikmagalur Town Police Station,1,0,1,1,9,True
10,Chitradurga Town Police Station,1,0,1,1,10,True
11,Dakshin Kannad Town Police Station,1,0,1,1,11,True
12,Davanagere Town Police Station,1,0,1,1,12,True
13,Dharwad Town Police Station,1,0,1,1,13,True
14,Gadag Town Police Station,1,0,1,1,14,True
15,Gulbarga Town Police Station,1,0,1,1,15,True
16,Hassan Town Police Station,1,0,1,1,16,True
17,Haveri Town Police Station,1,0,1,1,17,True
18,Kodagu Town Police Station,1,0,1,1,18,True
19,Kolar Town Police Station,1,0,1,1,19,True
20,Koppal Town Police Station,1,0,1,1,20,True
21,Mandya Town Police Station,1,0,1,1,21,True
22,Mysore Town Police Station,1,0,1,1,22,True
23,Raichur Town Police Station,1,0,1,1,23,True
24,Shimoga Town Police Station,1,0,1,1,24,True
25,Tumkur Town Police Station,1,0,1,1,25,True
26,Udupi Town Police Station,1,0,1,1,26,True
27,Uttar Kannand Town Police Station,1,0,1,1,27,True
