AnomalyID,DistrictID,UnitID,CrimeMajorHeadID,ObservedCount,ExpectedCount,AnomalyScore,FlagReason,WindowStart,WindowEnd
1,1,1,1,7,2.73,2.58,"Spike in Assault: 7 cases vs baseline 2.7 (Z-Score: +2.58, +156.7%)",2025-03-01,2025-03-28
2,1,1,5,11,5.0,2.38,"Spike in Theft: 11 cases vs baseline 5.0 (Z-Score: +2.38, +120.0%)",2025-06-01,2025-06-28
3,2,2,1,11,4.58,2.9,"Spike in Assault: 11 cases vs baseline 4.6 (Z-Score: +2.90, +140.0%)",2025-05-01,2025-05-28
4,2,2,2,7,3.33,2.67,"Spike in Burglary: 7 cases vs baseline 3.3 (Z-Score: +2.67, +110.0%)",2025-02-01,2025-02-28
5,2,2,5,11,7.5,1.73,"Spike in Theft: 11 cases vs baseline 7.5 (Z-Score: +1.73, +46.7%)",2025-06-01,2025-06-28
6,3,3,1,25,16.67,1.75,"Spike in Assault: 25 cases vs baseline 16.7 (Z-Score: +1.75, +50.0%)",2025-06-01,2025-06-28
7,3,3,2,17,12.5,2.03,"Spike in Burglary: 17 cases vs baseline 12.5 (Z-Score: +2.03, +36.0%)",2025-03-01,2025-03-28
8,3,3,3,10,5.0,1.89,"Spike in Chain Snatching: 10 cases vs baseline 5.0 (Z-Score: +1.89, +100.0%)",2025-01-01,2025-01-28
9,3,3,4,11,7.08,1.61,"Spike in Robbery: 11 cases vs baseline 7.1 (Z-Score: +1.61, +55.3%)",2025-12-01,2025-12-28
10,3,3,5,46,35.0,1.71,"Spike in Theft: 46 cases vs baseline 35.0 (Z-Score: +1.71, +31.4%)",2025-06-01,2025-06-28
11,3,3,5,46,35.0,1.71,"Spike in Theft: 46 cases vs baseline 35.0 (Z-Score: +1.71, +31.4%)",2025-12-01,2025-12-28
12,4,4,1,10,6.67,1.77,"Spike in Assault: 10 cases vs baseline 6.7 (Z-Score: +1.77, +50.0%)",2025-10-01,2025-10-28
13,4,4,4,7,3.0,2.31,"Spike in Robbery: 7 cases vs baseline 3.0 (Z-Score: +2.31, +133.3%)",2025-10-01,2025-10-28
14,4,4,5,19,12.5,2.08,"Spike in Theft: 19 cases vs baseline 12.5 (Z-Score: +2.08, +52.0%)",2025-07-01,2025-07-28
15,5,5,1,9,4.17,2.04,"Spike in Assault: 9 cases vs baseline 4.2 (Z-Score: +2.04, +116.0%)",2025-07-01,2025-07-28
16,5,5,1,8,4.17,1.61,"Spike in Assault: 8 cases vs baseline 4.2 (Z-Score: +1.61, +92.0%)",2025-12-01,2025-12-28
17,5,5,2,7,2.92,2.16,"Spike in Burglary: 7 cases vs baseline 2.9 (Z-Score: +2.16, +140.0%)",2025-04-01,2025-04-28
18,5,5,2,7,2.92,2.16,"Spike in Burglary: 7 cases vs baseline 2.9 (Z-Score: +2.16, +140.0%)",2025-10-01,2025-10-28
19,5,5,5,14,7.92,2.26,"Spike in Theft: 14 cases vs baseline 7.9 (Z-Score: +2.26, +76.8%)",2025-04-01,2025-04-28
20,7,7,1,7,2.92,2.27,"Spike in Assault: 7 cases vs baseline 2.9 (Z-Score: +2.27, +140.0%)",2025-01-01,2025-01-28
21,7,7,1,6,2.92,1.71,"Spike in Assault: 6 cases vs baseline 2.9 (Z-Score: +1.71, +105.7%)",2025-12-01,2025-12-28
22,7,7,5,13,5.83,2.51,"Spike in Theft: 13 cases vs baseline 5.8 (Z-Score: +2.51, +122.9%)",2025-08-01,2025-08-28
23,9,9,5,8,3.75,1.9,"Spike in Theft: 8 cases vs baseline 3.8 (Z-Score: +1.90, +113.3%)",2025-06-01,2025-06-28
24,9,9,5,8,3.75,1.9,"Spike in Theft: 8 cases vs baseline 3.8 (Z-Score: +1.90, +113.3%)",2025-10-01,2025-10-28
25,10,10,5,7,3.33,2.04,"Spike in Theft: 7 cases vs baseline 3.3 (Z-Score: +2.04, +110.0%)",2025-01-01,2025-01-28
26,11,11,1,6,2.0,2.7,"Spike in Assault: 6 cases vs baseline 2.0 (Z-Score: +2.70, +200.0%)",2025-08-01,2025-08-28
27,11,11,5,7,3.33,2.56,"Spike in Theft: 7 cases vs baseline 3.3 (Z-Score: +2.56, +110.0%)",2025-10-01,2025-10-28
28,12,12,5,7,3.33,2.56,"Spike in Theft: 7 cases vs baseline 3.3 (Z-Score: +2.56, +110.0%)",2025-06-01,2025-06-28
29,16,16,1,5,2.0,2.37,"Spike in Assault: 5 cases vs baseline 2.0 (Z-Score: +2.37, +150.0%)",2025-10-01,2025-10-28
30,18,18,5,7,3.33,2.04,"Spike in Theft: 7 cases vs baseline 3.3 (Z-Score: +2.04, +110.0%)",2025-07-01,2025-07-28
31,19,19,5,7,3.33,1.94,"Spike in Theft: 7 cases vs baseline 3.3 (Z-Score: +1.94, +110.0%)",2025-07-01,2025-07-28
32,19,19,5,7,3.33,1.94,"Spike in Theft: 7 cases vs baseline 3.3 (Z-Score: +1.94, +110.0%)",2025-11-01,2025-11-28
33,20,20,5,7,3.64,2.17,"Spike in Theft: 7 cases vs baseline 3.6 (Z-Score: +2.17, +92.5%)",2025-01-01,2025-01-28
34,22,22,1,14,7.5,2.6,"Spike in Assault: 14 cases vs baseline 7.5 (Z-Score: +2.60, +86.7%)",2025-04-01,2025-04-28
35,22,22,3,6,2.78,2.31,"Spike in Chain Snatching: 6 cases vs baseline 2.8 (Z-Score: +2.31, +116.0%)",2025-01-01,2025-01-28
36,24,24,5,8,3.64,2.08,"Spike in Theft: 8 cases vs baseline 3.6 (Z-Score: +2.08, +120.0%)",2025-06-01,2025-06-28
