CaseMasterID,MethodTag
1,Vehicle Theft
2,Vehicle Theft
3,Break-in
4,Vehicle Theft
5,Vehicle Theft
6,Pickpocket
7,Vehicle Theft
8,Vehicle Theft
9,Break-in
10,Vehicle Theft
11,Vehicle Theft
12,Vehicle Theft
13,Pickpocket
14,Pickpocket
15,Vehicle Theft
16,Pickpocket
17,Vehicle Theft
18,Vehicle Theft
19,Break-in
20,Pickpocket
21,Break-in
22,Pickpocket
23,Vehicle Theft
24,Pickpocket
25,Break-in
26,Vehicle Theft
27,Vehicle Theft
28,Vehicle Theft
29,Break-in
30,Pickpocket
31,Break-in
32,Pickpocket
33,Vehicle Theft
34,Vehicle Theft
35,Pickpocket
36,Vehicle Theft
37,Vehicle Theft
38,Pickpocket
39,Break-in
40,Pickpocket
41,Vehicle Theft
42,Pickpocket
43,Vehicle Theft
44,Vehicle Theft
45,Vehicle Theft
46,Vehicle Theft
47,Vehicle Theft
48,Vehicle Theft
49,Break-in
50,Pickpocket
51,Pickpocket
52,Vehicle Theft
53,Pickpocket
54,Vehicle Theft
55,Break-in
56,Vehicle Theft
57,Vehicle Theft
58,Pickpocket
59,Vehicle Theft
60,Pickpocket
61,Armed Robbery
62,Armed Robbery
63,Armed Robbery
64,Armed Robbery
65,Armed Robbery
66,Snatch-and-Run
67,Armed Robbery
68,Armed Robbery
69,Armed Robbery
70,Armed Robbery
71,Snatch-and-Run
72,Snatch-and-Run
73,Snatch-and-Run
74,Snatch-and-Run
75,Armed Robbery
76,Break-in
77,Break-in
78,Break-in
79,Break-in
80,Break-in
81,Break-in
82,Break-in
83,Break-in
84,Break-in
85,Break-in
86,Break-in
87,Break-in
88,Break-in
89,Break-in
90,Break-in
91,Break-in
92,Break-in
93,Break-in
94,Break-in
95,Break-in
96,Physical Assault
97,Physical Assault
98,Armed Attack
99,Armed Attack
100,Physical Assault
101,Physical Assault
102,Physical Assault
103,Armed Attack
104,Armed Attack
105,Armed Attack
106,Physical Assault
107,Armed Attack
108,Armed Attack
109,Armed Attack
110,Physical Assault
111,Armed Attack
112,Physical Assault
113,Armed Attack
114,Physical Assault
115,Armed Attack
116,Armed Attack
117,Armed Attack
118,Physical Assault
119,Armed Attack
120,Armed Attack
121,Armed Attack
122,Armed Attack
123,Armed Attack
124,Physical Assault
125,Armed Attack
126,Pickpocket
127,Vehicle Theft
128,Pickpocket
129,Break-in
130,Pickpocket
131,Break-in
132,Vehicle Theft
133,Vehicle Theft
134,Pickpocket
135,Break-in
136,Pickpocket
137,Vehicle Theft
138,Pickpocket
139,Vehicle Theft
140,Vehicle Theft
141,Pickpocket
142,Vehicle Theft
143,Pickpocket
144,Vehicle Theft
145,Vehicle Theft
146,Vehicle Theft
147,Break-in
148,Vehicle Theft
149,Pickpocket
150,Pickpocket
151,Vehicle Theft
152,Pickpocket
153,Break-in
154,Vehicle Theft
155,Pickpocket
156,Pickpocket
157,Break-in
158,Pickpocket
159,Vehicle Theft
160,Pickpocket
161,Vehicle Theft
162,Vehicle Theft
163,Vehicle Theft
164,Vehicle Theft
165,Break-in
166,Pickpocket
167,Pickpocket
168,Vehicle Theft
169,Vehicle Theft
170,Pickpocket
171,Vehicle Theft
172,Pickpocket
173,Vehicle Theft
