CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,0001/2025,FIR/0001/2025,2025-02-07,2,1,1,2,5,10,1,1,2025-02-07 00:00:00,2025-02-07 00:30:00,2025-02-07 01:15:00,16.288348,75.726218,"Incident of Theft reported in Bagalkot district at coordinates (16.2883, 75.7262)."
2,0002/2025,FIR/0002/2025,2025-10-08,1,1,1,2,5,9,1,1,2025-10-08 08:00:00,2025-10-08 08:30:00,2025-10-08 09:15:00,16.176808,76.131462,"Incident of Theft reported in Bagalkot district at coordinates (16.1768, 76.1315)."
3,0003/2025,FIR/0003/2025,2025-06-01,2,1,1,2,5,10,3,1,2025-06-01 01:00:00,2025-06-01 01:30:00,2025-06-01 02:15:00,16.122467,75.791171,"Incident of Theft reported in Bagalkot district at coordinates (16.1225, 75.7912)."
4,0004/2025,FIR/0004/2025,2025-06-10,1,1,1,2,5,9,3,1,2025-06-10 15:00:00,2025-06-10 15:30:00,2025-06-10 16:15:00,16.177454,76.121926,"Incident of Theft reported in Bagalkot district at coordinates (16.1775, 76.1219)."
5,0005/2025,FIR/0005/2025,2025-05-01,2,1,1,2,5,10,2,1,2025-05-01 15:00:00,2025-05-01 15:30:00,2025-05-01 16:15:00,16.164985,76.126135,"Incident of Theft reported in Bagalkot district at coordinates (16.1650, 76.1261)."
6,0006/2025,FIR/0006/2025,2025-04-20,1,1,1,2,5,9,3,1,2025-04-20 08:00:00,2025-04-20 08:30:00,2025-04-20 09:15:00,16.127301,75.496899,"Incident of Theft reported in Bagalkot district at coordinates (16.1273, 75.4969)."
7,0007/2025,FIR/0007/2025,2025-04-10,2,1,1,2,5,10,1,1,2025-04-10 04:00:00,2025-04-10 04:30:00,2025-04-10 05:15:00,16.131168,75.791866,"Incident of Theft reported in Bagalkot district at coordinates (16.1312, 75.7919)."
8,0008/2025,FIR/0008/2025,2025-09-13,1,1,1,2,5,9,1,1,2025-09-13 12:00:00,2025-09-13 12:30:00,2025-09-13 13:15:00,15.933616,75.925383,"Incident of Theft reported in Bagalkot district at coordinates (15.9336, 75.9254)."
9,0009/2025,FIR/0009/2025,2025-09-27,2,1,1,2,5,10,2,1,2025-09-27 19:00:00,2025-09-27 19:30:00,2025-09-27 20:15:00,16.544401,75.338,"Incident of Theft reported in Bagalkot district at coordinates (16.5444, 75.3380)."
10,0010/2025,FIR/0010/2025,2025-03-06,1,1,1,2,5,9,1,1,2025-03-06 18:00:00,2025-03-06 18:30:00,2025-03-06 19:15:00,15.913487,75.935504,"Incident of Theft reported in Bagalkot district at coordinates (15.9135, 75.9355)."
11,0011/2025,FIR/0011/2025,2025-01-09,2,1,1,2,5,10,2,1,2025-01-09 14:00:00,2025-01-09 14:30:00,2025-01-09 15:15:00,16.178768,76.126029,"Incident of Theft reported in Bagalkot district at coordinates (16.1788, 76.1260)."
