CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-02-23 11:30:00,A,2
2,2,2025-10-25 11:30:00,A,1
3,3,2025-06-19 11:30:00,A,2
4,4,2025-06-29 11:30:00,A,1
5,5,2025-05-21 11:30:00,C,2
6,6,2025-05-11 11:30:00,C,1
7,7,2025-05-02 11:30:00,A,2
8,8,2025-10-06 11:30:00,A,1
9,9,2025-10-21 11:30:00,B,2
10,10,2025-03-31 11:30:00,A,1
11,11,2025-02-04 11:30:00,C,2
12,12,2026-01-13 11:30:00,A,1
13,13,2025-05-25 11:30:00,A,2
14,14,2025-07-03 11:30:00,A,1
15,15,2025-11-18 11:30:00,B,2
16,16,2025-12-03 11:30:00,C,1
17,17,2025-08-19 11:30:00,C,2
18,18,2025-07-25 11:30:00,C,1
19,19,2025-12-01 11:30:00,A,2
20,20,2025-04-23 11:30:00,C,1
21,21,2025-03-13 11:30:00,A,2
22,22,2025-12-28 11:30:00,C,1
23,23,2025-06-01 11:30:00,A,2
24,24,2025-11-23 11:30:00,B,1
25,25,2025-03-09 11:30:00,B,2
26,26,2025-10-19 11:30:00,C,1
27,27,2026-02-03 11:30:00,B,2
28,28,2025-08-16 11:30:00,C,1
29,29,2025-05-30 11:30:00,C,2
30,30,2025-05-03 11:30:00,A,1
31,31,2025-06-26 11:30:00,A,2
32,32,2025-05-18 11:30:00,A,1
33,33,2025-12-19 11:30:00,A,2
34,34,2026-01-04 11:30:00,A,1
35,35,2025-08-01 11:30:00,C,2
36,36,2025-09-11 11:30:00,A,1
37,37,2026-01-06 11:30:00,A,2
38,38,2025-08-15 11:30:00,A,1
39,39,2025-10-05 11:30:00,A,2
40,40,2025-03-18 11:30:00,C,1
41,41,2025-08-09 11:30:00,A,2
42,42,2025-09-17 11:30:00,B,1
43,43,2025-08-19 11:30:00,A,2
44,44,2025-04-24 11:30:00,A,1
45,45,2025-06-02 11:30:00,B,2
46,46,2025-04-13 11:30:00,C,1
47,47,2025-10-08 11:30:00,A,2
48,48,2025-12-19 11:30:00,A,1
49,49,2025-03-07 11:30:00,A,2
50,50,2025-08-23 11:30:00,C,1
51,51,2025-03-19 11:30:00,A,2
52,52,2026-02-12 11:30:00,A,1
53,53,2025-10-03 11:30:00,A,2
54,54,2025-08-17 11:30:00,A,1
55,55,2025-07-06 11:30:00,B,2
56,56,2025-10-11 11:30:00,C,1
57,57,2025-08-26 11:30:00,B,2
58,58,2025-10-15 11:30:00,C,1
59,59,2025-03-22 11:30:00,A,2
60,60,2025-06-22 11:30:00,A,1
61,61,2025-10-27 11:30:00,C,2
62,62,2025-03-05 11:30:00,A,1
63,63,2025-09-27 11:30:00,B,2
64,64,2025-02-22 11:30:00,A,1
65,65,2025-05-09 11:30:00,A,2
66,66,2025-02-06 11:30:00,B,1
67,67,2025-08-02 11:30:00,C,2
68,68,2025-10-17 11:30:00,C,1
69,69,2025-04-12 11:30:00,C,2
70,70,2025-03-14 11:30:00,C,1
71,71,2025-05-08 11:30:00,A,2
72,72,2025-03-08 11:30:00,B,1
73,73,2025-09-16 11:30:00,A,2
74,74,2025-12-11 11:30:00,A,1
75,75,2025-10-03 11:30:00,A,2
76,76,2025-07-15 11:30:00,C,1
77,77,2026-01-11 11:30:00,C,2
78,78,2025-07-31 11:30:00,A,1
79,79,2025-02-25 11:30:00,C,2
80,80,2026-01-20 11:30:00,A,1
81,81,2025-06-11 11:30:00,B,2
82,82,2025-07-15 11:30:00,A,1
83,83,2025-02-16 11:30:00,A,2
84,84,2026-01-27 11:30:00,A,1
85,85,2025-05-23 11:30:00,B,2
86,86,2025-12-20 11:30:00,A,1
87,87,2025-05-16 11:30:00,A,2
88,88,2025-04-01 11:30:00,A,1
89,89,2025-11-08 11:30:00,C,2
90,90,2025-10-07 11:30:00,A,1
91,91,2025-06-22 11:30:00,A,2
92,92,2025-08-27 11:30:00,C,1
93,93,2025-05-21 11:30:00,A,2
94,94,2025-11-04 11:30:00,C,1
95,95,2025-03-13 11:30:00,C,2
96,96,2025-12-27 11:30:00,B,1
97,97,2025-05-01 11:30:00,C,2
98,98,2025-12-24 11:30:00,C,1
99,99,2026-02-08 11:30:00,A,2
100,100,2026-01-06 11:30:00,C,1
101,101,2025-10-25 11:30:00,A,2
102,102,2025-07-07 11:30:00,B,1
103,103,2025-05-14 11:30:00,C,2
104,104,2025-11-10 11:30:00,C,1
105,105,2025-09-27 11:30:00,B,2
106,106,2025-04-09 11:30:00,A,1
107,107,2025-08-28 11:30:00,A,2
108,108,2025-05-19 11:30:00,C,1
109,109,2025-05-11 11:30:00,C,2
110,110,2025-07-10 11:30:00,C,1
111,111,2025-09-24 11:30:00,A,2
112,112,2025-09-21 11:30:00,A,1
113,113,2025-12-12 11:30:00,A,2
114,114,2025-05-03 11:30:00,A,1
115,115,2025-05-29 11:30:00,A,2
116,116,2025-04-11 11:30:00,C,1
117,117,2026-01-31 11:30:00,C,2
118,118,2025-12-01 11:30:00,C,1
119,119,2026-02-13 11:30:00,C,2
120,120,2025-09-25 11:30:00,A,1
121,121,2025-10-23 11:30:00,C,2
122,122,2025-04-09 11:30:00,C,1
123,123,2025-03-24 11:30:00,B,2
124,124,2025-10-30 11:30:00,C,1
125,125,2025-09-29 11:30:00,C,2
126,126,2025-09-05 11:30:00,A,3
127,127,2025-09-10 11:30:00,C,4
128,128,2025-09-20 11:30:00,C,3
129,129,2025-10-01 11:30:00,C,4
130,130,2025-10-12 11:30:00,C,3
131,131,2025-07-27 11:30:00,A,4
