incident_id,district,crime_type,latitude,longitude,date,hour,status
1,Bagalkot,Theft,16.288348,75.726218,2025-02-07,0,Chargesheeted
2,Bagalkot,Theft,16.176808,76.131462,2025-10-08,8,Chargesheeted
3,Bagalkot,Theft,16.122467,75.791171,2025-06-01,1,Under Investigation
4,Bagalkot,Theft,16.177454,76.121926,2025-06-10,15,Under Investigation
5,Bagalkot,Theft,16.164985,76.126135,2025-05-01,15,Closed
6,Bagalkot,Theft,16.127301,75.496899,2025-04-20,8,Under Investigation
7,Bagalkot,Theft,16.131168,75.791866,2025-04-10,4,Chargesheeted
8,Bagalkot,Theft,15.933616,75.925383,2025-09-13,12,Chargesheeted
9,Bagalkot,Theft,16.544401,75.338,2025-09-27,19,Closed
10,Bagalkot,Theft,15.913487,75.935504,2025-03-06,18,Chargesheeted
11,Bagalkot,Theft,16.178768,76.126029,2025-01-09,14,Closed
12,Bagalkot,Theft,16.178488,76.128846,2025-12-17,10,Chargesheeted
13,Bagalkot,Theft,16.288879,75.721204,2025-04-27,21,Chargesheeted
14,Bagalkot,Theft,16.123675,75.781792,2025-06-04,16,Under Investigation
15,Bagalkot,Theft,15.929789,75.947112,2025-10-19,17,Closed
16,Bagalkot,Theft,15.922108,75.940589,2025-11-02,8,Under Investigation
17,Bagalkot,Theft,16.172401,76.128826,2025-07-18,6,Under Investigation
18,Bagalkot,Theft,16.291896,75.708586,2025-06-22,12,Under Investigation
19,Bagalkot,Theft,16.133697,75.501362,2025-10-28,13,Chargesheeted
20,Bagalkot,Theft,15.942702,75.937765,2025-03-19,1,Closed
21,Bagalkot,Theft,16.475396,75.208548,2025-02-05,4,Under Investigation
22,Bagalkot,Theft,16.125375,75.782654,2025-11-21,4,Closed
23,Bagalkot,Theft,15.933578,75.92732,2025-04-24,14,Under Investigation
24,Bagalkot,Theft,15.917017,75.940096,2025-10-15,12,Closed
25,Bagalkot,Theft,16.403622,75.082604,2025-01-28,9,Under Investigation
26,Bagalkot,Theft,16.273085,75.699465,2025-09-08,23,Closed
27,Bagalkot,Theft,16.055821,75.77975,2025-12-23,17,Closed
28,Bagalkot,Theft,16.289458,75.708486,2025-07-04,19,Closed
29,Bagalkot,Theft,16.178348,76.128147,2025-04-16,11,Under Investigation
30,Bagalkot,Theft,16.034645,75.47213,2025-03-19,4,Chargesheeted
31,Bagalkot,Theft,16.302957,75.702069,2025-05-11,13,Under Investigation
32,Bagalkot,Theft,16.12215,75.50917,2025-04-01,18,Chargesheeted
33,Bagalkot,Theft,16.346651,75.691301,2025-11-01,12,Chargesheeted
34,Bagalkot,Theft,16.053472,75.779064,2025-11-16,4,Chargesheeted
35,Bagalkot,Theft,16.130046,75.779188,2025-06-12,21,Closed
36,Bagalkot,Theft,16.121677,75.496025,2025-07-22,3,Chargesheeted
37,Bagalkot,Theft,16.285251,75.713205,2025-11-15,17,Chargesheeted
38,Bagalkot,Theft,16.058868,75.782371,2025-06-23,15,Chargesheeted
39,Bagalkot,Theft,16.175496,76.121512,2025-08-12,5,Chargesheeted
40,Bagalkot,Theft,16.276045,75.697085,2025-01-22,2,Closed
41,Bagalkot,Theft,16.12263,75.514469,2025-06-14,12,Chargesheeted
42,Bagalkot,Theft,16.132723,75.505724,2025-07-22,11,Closed
43,Bagalkot,Theft,15.923035,75.944839,2025-06-22,19,Under Investigation
44,Bagalkot,Theft,15.9325,75.932025,2025-02-24,12,Chargesheeted
45,Bagalkot,Theft,16.134885,75.797814,2025-04-03,2,Closed
46,Bagalkot,Theft,15.834119,75.54543,2025-02-11,0,Closed
47,Bagalkot,Theft,16.085811,75.569034,2025-08-07,11,Chargesheeted
48,Bagalkot,Theft,16.122131,75.40246,2025-10-17,11,Chargesheeted
49,Bagalkot,Theft,16.053027,75.777727,2025-01-02,10,Chargesheeted
50,Bagalkot,Theft,16.277575,75.718,2025-06-19,4,Closed
51,Bagalkot,Theft,16.116881,75.775384,2025-01-12,8,Under Investigation
52,Bagalkot,Theft,16.181183,76.113428,2025-12-07,16,Under Investigation
53,Bagalkot,Theft,15.929571,75.926005,2025-07-27,20,Under Investigation
54,Bagalkot,Theft,15.930837,75.952195,2025-06-09,13,Chargesheeted
55,Bagalkot,Theft,16.11267,75.492926,2025-04-27,13,Under Investigation
56,Bagalkot,Theft,16.122793,75.793675,2025-08-01,18,Closed
57,Bagalkot,Theft,16.174044,76.12941,2025-06-15,23,Closed
58,Bagalkot,Theft,16.159711,75.690426,2025-08-03,19,Closed
59,Bagalkot,Theft,16.127359,75.513876,2025-01-07,17,Chargesheeted
60,Bagalkot,Theft,16.297248,75.712413,2025-04-08,6,Chargesheeted
61,Bagalkot,Robbery,16.122793,75.510926,2025-10-12,2,Closed
62,Bagalkot,Robbery,16.123852,75.502933,2025-02-17,13,Chargesheeted
63,Bagalkot,Robbery,16.166599,76.121034,2025-09-10,7,Closed
64,Bagalkot,Robbery,15.982777,75.504488,2025-02-04,14,Under Investigation
65,Bagalkot,Robbery,16.052365,75.784596,2025-04-20,14,Chargesheeted
66,Bagalkot,Robbery,16.131636,75.503946,2025-01-17,21,Closed
67,Bagalkot,Robbery,16.115514,75.77982,2025-07-12,3,Closed
68,Bagalkot,Robbery,15.91273,75.934148,2025-09-25,13,Closed
69,Bagalkot,Robbery,16.118331,75.794279,2025-03-20,2,Under Investigation
70,Bagalkot,Robbery,16.046834,76.055341,2025-02-18,12,Closed
71,Bagalkot,Chain Snatching,16.289247,75.715335,2025-04-13,3,Chargesheeted
72,Bagalkot,Chain Snatching,16.17067,76.124626,2025-02-10,13,Closed
73,Bagalkot,Chain Snatching,16.126855,75.495078,2025-08-20,2,Under Investigation
74,Bagalkot,Chain Snatching,16.280163,75.695376,2025-11-13,0,Under Investigation
75,Bagalkot,Chain Snatching,15.933222,75.933563,2025-09-04,18,Chargesheeted
76,Bagalkot,Burglary,16.352022,75.087331,2025-06-15,3,Under Investigation
77,Bagalkot,Burglary,15.927461,75.927564,2025-12-11,8,Under Investigation
78,Bagalkot,Burglary,16.301401,75.7019,2025-06-29,22,Chargesheeted
79,Bagalkot,Burglary,16.128162,75.513066,2025-01-23,15,Closed
80,Bagalkot,Burglary,16.060127,75.772955,2025-12-17,7,Chargesheeted
81,Bagalkot,Burglary,16.037227,75.780515,2025-05-07,16,Closed
82,Bagalkot,Burglary,16.052557,75.775102,2025-06-09,19,Under Investigation
83,Bagalkot,Burglary,16.560041,75.254094,2025-01-10,21,Under Investigation
84,Bagalkot,Burglary,16.283412,75.716547,2025-12-20,6,Chargesheeted
85,Bagalkot,Burglary,16.257825,75.642279,2025-04-14,11,Under Investigation
86,Bagalkot,Burglary,15.952569,75.565508,2025-11-10,11,Chargesheeted
87,Bagalkot,Burglary,16.273432,75.709762,2025-04-05,12,Chargesheeted
88,Bagalkot,Burglary,16.120789,75.796685,2025-02-18,18,Chargesheeted
89,Bagalkot,Burglary,16.289776,75.708831,2025-09-26,15,Under Investigation
90,Bagalkot,Burglary,15.920579,75.946624,2025-08-24,5,Chargesheeted
91,Bagalkot,Burglary,16.285623,75.710774,2025-05-08,1,Chargesheeted
92,Bagalkot,Burglary,16.168621,76.110372,2025-07-12,7,Closed
93,Bagalkot,Burglary,15.969142,75.584793,2025-04-04,7,Under Investigation
94,Bagalkot,Burglary,16.12639,75.775974,2025-09-17,19,Closed
95,Bagalkot,Burglary,16.238899,75.824719,2025-01-23,8,Closed
96,Bagalkot,Assault,16.095191,76.074086,2025-11-07,0,Closed
97,Bagalkot,Assault,16.118751,75.503638,2025-03-11,4,Under Investigation
98,Bagalkot,Assault,15.925331,75.936485,2025-11-02,16,Under Investigation
99,Bagalkot,Assault,16.121202,75.783825,2025-12-17,1,Chargesheeted
100,Bagalkot,Assault,16.434766,75.280952,2025-11-13,19,Closed
101,Bagalkot,Assault,16.129537,75.501622,2025-08-31,5,Chargesheeted
102,Bagalkot,Assault,16.134333,75.79002,2025-05-12,20,Closed
103,Bagalkot,Assault,16.123747,75.501149,2025-03-18,19,Closed
104,Bagalkot,Assault,16.322684,75.470101,2025-09-13,3,Closed
105,Bagalkot,Assault,16.27541,75.716414,2025-07-30,5,Under Investigation
106,Bagalkot,Assault,16.1174,75.777165,2025-02-08,1,Chargesheeted
107,Bagalkot,Assault,16.221087,75.333825,2025-06-28,7,Chargesheeted
108,Bagalkot,Assault,15.987058,75.558689,2025-03-18,20,Under Investigation
109,Bagalkot,Assault,15.913885,75.942271,2025-03-09,21,Closed
110,Bagalkot,Assault,16.120211,75.500294,2025-05-07,1,Closed
111,Bagalkot,Assault,16.121044,75.787388,2025-07-21,11,Under Investigation
112,Bagalkot,Assault,16.147268,75.876152,2025-07-17,7,Chargesheeted
113,Bagalkot,Assault,16.277386,75.703415,2025-10-06,11,Chargesheeted
114,Bagalkot,Assault,15.91968,75.942019,2025-02-24,21,Chargesheeted
115,Bagalkot,Assault,16.12297,75.783829,2025-03-21,2,Chargesheeted
116,Bagalkot,Assault,15.841831,75.685562,2025-01-31,6,Under Investigation
117,Bagalkot,Assault,16.173242,76.129926,2025-11-21,12,Under Investigation
118,Bagalkot,Assault,16.046219,76.112123,2025-09-20,10,Under Investigation
119,Bagalkot,Assault,16.168768,76.119515,2025-12-02,22,Under Investigation
120,Bagalkot,Assault,16.134379,75.503908,2025-07-13,23,Chargesheeted
121,Bagalkot,Assault,16.293592,75.700621,2025-08-09,9,Closed
122,Bagalkot,Assault,16.173185,75.506617,2025-03-25,10,Closed
123,Bagalkot,Assault,16.146321,75.630548,2025-03-08,4,Closed
124,Bagalkot,Assault,16.28039,75.701329,2025-10-13,20,Closed
125,Bagalkot,Assault,16.174299,76.116365,2025-09-11,1,Closed
126,Bangalore Rural,Theft,13.117715,77.913766,2025-08-17,14,Chargesheeted
127,Bangalore Rural,Theft,12.632701,77.154524,2025-08-21,12,Under Investigation
128,Bangalore Rural,Theft,13.141323,77.913913,2025-08-30,7,Closed
129,Bangalore Rural,Theft,12.910173,77.320388,2025-09-09,19,Under Investigation
130,Bangalore Rural,Theft,13.125221,77.917486,2025-09-19,18,Closed
131,Bangalore Rural,Theft,12.513511,77.130355,2025-07-03,16,Chargesheeted
132,Bangalore Rural,Theft,12.664956,77.522668,2025-01-05,3,Chargesheeted
133,Bangalore Rural,Theft,12.650983,77.512845,2025-01-24,9,Closed
134,Bangalore Rural,Theft,12.658417,77.527414,2025-10-07,12,Chargesheeted
135,Bangalore Rural,Theft,13.106917,77.884986,2025-07-20,1,Closed
136,Bangalore Rural,Theft,13.116755,77.89911,2025-05-26,14,Closed
137,Bangalore Rural,Theft,13.130496,77.913172,2025-12-11,5,Under Investigation
138,Bangalore Rural,Theft,13.136877,77.908134,2025-12-10,1,Chargesheeted
139,Bangalore Rural,Theft,12.630129,77.149809,2025-07-05,4,Chargesheeted
